name	taxonomy_id	taxonomic_lineage
Acholeplasmatales	186329	d__Bacteria;p__Mycoplasmatota;c__Mollicutes;o__;f__;g__
Thermosediminibacterales	2770089	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__
Koleobacterales	2786987	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__
Jiangellales	1217098	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Sedimentisphaerales	2483366	d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__;f__;g__
Candidatus Uabimicrobiales	2897347	d__Bacteria;p__Planctomycetota;c__Candidatus Uabimicrobiia;o__;f__;g__
Chlamydiales	51291	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__;f__;g__
Thermodesulfobacteriales	188710	d__Bacteria;p__Thermodesulfobacteriota;c__Thermodesulfobacteria;o__;f__;g__
Brachyspirales	1643686	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__;f__;g__
Kosmotogales	1643946	d__Bacteria;p__Thermotogota;c__Thermotogae;o__;f__;g__
Nitrospirales	189778	d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__;f__;g__
Thermodesulfovibrionales	2811503	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__;f__;g__

Tepidiformales	2682226	d__Bacteria;p__Chloroflexota;c__Tepidiformia;o__;f__;g__
Glycomycetales	85014	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Candidatus Nanopelagicales	2039638	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Chloroflexales	32064	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__;f__;g__
Sneathiellales	510684	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Maricaulales	2800059	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Tichowtungiales	2907185	d__Bacteria;p__Kiritimatiellota;c__Tichowtungiia;o__;f__;g__
Aquificales	32069	d__Bacteria;p__Aquificota;c__Aquificae;o__;f__;g__

Natranaerobiales	485256	d__Bacteria;p__Bacillota;c__Clostridia;o__;f__;g__
Limnochordales	1676649	d__Bacteria;p__Bacillota;c__Limnochordia;o__;f__;g__
Jatrophihabitantales	2805415	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Kineosporiales	622452	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__;f__;g__
Euzebyales	908621	d__Bacteria;p__Actinomycetota;c__Nitriliruptoria;o__;f__;g__
Egibacterales	1747768	d__Bacteria;p__Actinomycetota;c__Nitriliruptoria;o__;f__;g__
Gloeomargaritales	1955042	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__;f__;g__
Thermostichales	2881383	d__Bacteria;p__Cyanobacteriota;c__Cyanophyceae;o__;f__;g__
Candidatus Izemoplasmatales	2975519	d__Bacteria;p__Mycoplasmatota;c__Candidatus Izimaplasma;o__;f__;g__
Phototrophicales	2364208	d__Bacteria;p__Chloroflexota;c__Candidatus Thermofonsia;o__;f__;g__
Caldilineales	475963	d__Bacteria;p__Chloroflexota;c__Caldilineae;o__;f__;g__
Ardenticatenales	1382929	d__Bacteria;p__Chloroflexota;c__Ardenticatenia;o__;f__;g__
Sphaerobacterales	85001	d__Bacteria;p__Thermomicrobiota;c__Thermomicrobia;o__;f__;g__
Thermomicrobiales	189776	d__Bacteria;p__Thermomicrobiota;c__Thermomicrobia;o__;f__;g__
Chthonomonadales	1077263	d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__;f__;g__
Balneolales	1853223	d__Bacteria;p__Balneolota;c__Balneolia;o__;f__;g__
Fibrobacterales	218872	d__Bacteria;p__Fibrobacterota;c__Fibrobacteria;o__;f__;g__
Cardiobacteriales	135615	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__
Kangiellales	2887327	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__
Parvularculales	255473	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Emcibacterales	2066490	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Magnetococcales	1191478	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Kordiimonadales	362534	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__;f__;g__
Candidatus Brocadiales	1127829	d__Bacteria;p__Planctomycetota;c__Candidatus Brocadiia;o__;f__;g__
Puniceicoccales	415001	d__Bacteria;p__Verrucomicrobiota;c__Opitutae;o__;f__;g__
Parachlamydiales	1963360	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__;f__;g__
Lentisphaerales	278081	d__Bacteria;p__Lentisphaerota;c__Lentisphaeria;o__;f__;g__
Kiritimatiellales	1921782	d__Bacteria;p__Kiritimatiellota;c__Kiritimatiellia;o__;f__;g__
Desulfarculales	453227	d__Bacteria;p__Thermodesulfobacteriota;c__Desulfarculia;o__;f__;g__
Syntrophales	2914038	d__Bacteria;p__Thermodesulfobacteriota;c__Syntrophia;o__;f__;g__
