name	taxonomy_id	taxonomic_lineage
Moraxellaceae	468	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Moraxellales;f__;g__
Cellvibrionaceae	1706371	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__;g__
Microbulbiferaceae	1706373	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__;g__
Halieaceae	1706372	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__;g__
Spongiibacteraceae	1706375	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Cellvibrionales;f__;g__
Chromatiaceae	1046	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__;g__
Ectothiorhodospiraceae	72276	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__;g__
Granulosicoccaceae	449719	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__;g__
Thioalkalispiraceae	1096778	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__;g__
Wenzhouxiangellaceae	1676141	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__;g__
Thioalkalibacteraceae	2035710	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Chromatiales;f__;g__
Nevskiaceae	568386	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Nevskiales;f__;g__
Steroidobacteraceae	2689614	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Steroidobacterales;f__;g__
Alteromonadaceae	72275	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__;g__
Shewanellaceae	267890	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__;g__
Pseudoalteromonadaceae	267888	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__;g__
Colwelliaceae	267889	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__;g__
Ferrimonadaceae	267892	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Alteromonadales;f__;g__
Pasteurellaceae	712	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pasteurellales;f__;g__
Piscirickettsiaceae	135616	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__;g__
Francisellaceae	34064	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__;g__
Thiotrichaceae	135617	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Thiotrichales;f__;g__
Methylococcaceae	403	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Methylococcales;f__;g__
Legionellaceae	444	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Legionellales;f__;g__
Acidiferrobacteraceae	1692041	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Acidiferrobacterales;f__;g__
Orbaceae	1240483	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Orbales;f__;g__
Immundisolibacteraceae	1934946	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Immundisolibacterales;f__;g__
Nitrobacteraceae	41294	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Phyllobacteriaceae	69277	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Rhizobiaceae	82115	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Methylobacteriaceae	119045	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Xanthobacteraceae	335928	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Boseaceae	2831100	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Aurantimonadaceae	255475	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Brucellaceae	118882	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Devosiaceae	2831106	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Hyphomicrobiaceae	45401	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Methylocystaceae	31993	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Stappiaceae	2821832	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Phreatobacteraceae	2843305	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Beijerinckiaceae	45404	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Chelatococcaceae	2036754	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Bartonellaceae	772	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Parvibaculaceae	2813035	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Kaistiaceae	2831111	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Blastochloridaceae	2831090	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Pleomorphomonadaceae	2843308	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Amorphaceae	2685818	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__;g__
Sphingomonadaceae	41297	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__;g__
Sphingosinicellaceae	2820280	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__;g__
Erythrobacteraceae	335929	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__;g__
Paracoccaceae	31989	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__;g__
Roseobacteraceae	2854170	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__;g__
Azospirillaceae	2829815	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__
Acetobacteraceae	433	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__
Thalassospiraceae	2844866	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__
Rhodospirillaceae	41295	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales;f__;g__
Geminicoccaceae	2066434	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Geminicoccales;f__;g__
Caulobacteraceae	76892	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__;g__
Candidatus Pelagibacteraceae	1655514	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Candidatus Pelagibacterales;f__;g__
Anaplasmataceae	942	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__;g__
Candidatus Paracaedibacteraceae	1777752	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Holosporales;f__;g__
Holosporaceae	44746	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Holosporales;f__;g__
Hyphomonadaceae	69657	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomonadales;f__;g__
Comamonadaceae	80864	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__
Sutterellaceae	995019	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__
Burkholderiaceae	119060	d__Bacteria;p__Pseudomonadota;c__Betaproteobacteria;o__Burkholderiales;f__;g__
