rn	L1	L2	L3	L4	L5	L6	L7	L8	L9	L10	MG1	MG2	MG3	MG4	MG5	MG6	MG7	MG8	MG9	MG10	MG11	MG12	MG13	MG14	MG15	MG16	MG17	MG18	MG19	MG20	MG21	MG22	MG23	MG24	MG25	MG26	MG27	MG28	MG29	MG30	MG31	MG32	MG33	MG34	MG35	MG36	MG37	MG38	MG39	MG40	MG41	MG42	MG43	MG44	MG45	MG46	MG47	MG48	MG49	MG50	MG51	MG52	MG53	MG54	MG55	MG56	MG57	MG58	MG59	MG60	MG61	MG62	MG63	MG64	MG65	MG66	MG67	MG68	MG69	MG70	MG71	MG72	MG73	MG74	MG75	MG76	MG77	MG78	MG79	MG80	MG81	MG82	MG83	MG84	MG85
MG15	0.006518176379118267	0.006027234964629266	0.005302560584931325	0.006244918903932362	0.005695228073931288	0.00516969978353162	0.005552773040551146	0.0052373531080744	0.005133320660937837	0.0051941930185078495	0.005184233935586531	0.004919842298791195	0.005961281512066066	0.004993514062990473	0.00501996715233468	0.0053619727198220175	0.005828539266482855	0.005255378602487252	0.005752428265660215	0.005593333881510657	0.004991269802620301	0.0053066291735269396	0.004805061508527018	0.0054809054233920795	0																																																																						
MG16	0.006699449238585272	0.006015116621249561	0.0054036729680563495	0.005958620524836825	0.005306975562930995	0.005421099777098217	0.005790482186065584	0.005843221151551706	0.005170510181655408	0.005643679041786139	0.005634654268835256	0.005566185098382122	0.005904939828483352	0.0053261050148069615	0.0053221262988803674	0.005696165070383349	0.0069031225221941805	0.005389670894985192	0.006023282605133974	0.005841207434526841	0.005559886337618227	0.005814643015907052	0.005645569621389435	0.005746563107039315	0.005195246290643255	0																																																																					
MG17	0.006672698443230589	0.005697761115584064	0.00520747117348515	0.005646203332695351	0.004987045844267091	0.004833293474458916	0.004952975967521204	0.0049001750198334115	0.005205323645867659	0.005314448603780213	0.004966327798117008	0.004893031065807943	0.005139408451783985	0.004833656562931403	0.004955449188932433	0.005036488294843686	0.005874337088447731	0.004868640488067949	0.00546974342787117	0.005119743264917862	0.004924171773856733	0.005192619904477058	0.004848525510725659	0.005355965326087045	0.004950982432299309	0.005427070741915106	0																																																																				
MG18	0.00618745399384087	0.005633367069852814	0.004876557939425911	0.00550714369460358	0.005049550331981054	0.004865407935534373	0.004825866043815875	0.004706797244525458	0.005363096553870636	0.00481702535590289	0.004876434299945342	0.0048498204816763086	0.0049291954583300665	0.005014620990819758	0.004498932175127525	0.005398411397141881	0.005812098762315903	0.005248562435212825	0.005688398006262807	0.005151282785878119	0.005141982554127036	0.005443913495457311	0.004886852154520917	0.004826543214093911	0.00518765826338706	0.005335289747512124	0.004556608872186475	0																																																																			
MG19	0.0067467737139588185	0.006161324877620096	0.005844649697284688	0.005772519084659629	0.005770539304860804	0.005035558610031207	0.005761819714119966	0.0054557451501876355	0.005530664615234879	0.00579664888498267	0.0057807126916890215	0.005349076523539853	0.005377390691081912	0.005405598782051613	0.005549848064420911	0.005446270645843103	0.006010703905785992	0.005234509822241463	0.005795738478814537	0.0055840531218052086	0.004966217548493125	0.005702070327716052	0.005456543370051856	0.0057423795451855995	0.005479991556177157	0.005868845671815753	0.005130560047522299	0.005077254348682852	0																																																																		
MG20	0.006316155602440104	0.005514502779522333	0.005034452203807519	0.005307963642592494	0.005357729923380737	0.004696814917754055	0.004974574962838108	0.00485190391928229	0.005524432364259196	0.005537103601152436	0.004875865082916897	0.004821083084078424	0.005074073686787729	0.0048405111624759325	0.004605576080409364	0.004895982521188748	0.006310182560893972	0.004920642076871763	0.0057577473010523164	0.0051434216734763585	0.0046931757265282585	0.00518261702893451	0.004826601101023606	0.005215368744466813	0.004908084414343746	0.005276550567268926	0.0045091611141799765	0.004653605096330628	0.004616895227271077	0																																																																	
MG21	0.007874727319941493	0.006219838642983049	0.00628897169081996	0.006388870368835976	0.006039147586759785	0.0060917523588841045	0.006129957319597973	0.005881003642477147	0.005961060464650652	0.006118689577741251	0.005548090441750837	0.006085257386972642	0.006218360534254412	0.006278500041614297	0.005690160252401192	0.006139413185423478	0.006243615666544359	0.005873555778506251	0.006917515465745783	0.005767359351646061	0.0059856627885415195	0.005900843837726324	0.006044291180353471	0.005775675156217241	0.005905907189385859	0.006258970583338011	0.005700904720576805	0.0056444677848878156	0.005917659599814546	0.005568711540550528	0																																																																
MG22	0.006609578430601956	0.005699287439461099	0.005127236941079619	0.005847315917360615	0.005255234888710043	0.00496836231674855	0.005071535219288633	0.005174179730505007	0.005464410774954731	0.005201162810142879	0.005198810350749786	0.004900979578204378	0.005222652529371915	0.005310037395520201	0.005022451894322682	0.004778582211854423	0.0060415649750373565	0.0047813133153819945	0.0056738845641667824	0.005539325616039727	0.005004740882438814	0.005565837907382652	0.004836078327425237	0.0050310230105382265	0.00530163707966211	0.005526873745869156	0.0048739157660739755	0.004580143313128647	0.005083666405185133	0.0049275411260332755	0.005920302382910847	0																																																															
MG23	0.0066571918916692886	0.006257037327055301	0.005562745899233346	0.005997768964152158	0.00531688464519993	0.004920812860002126	0.005363932897384989	0.005187201742369194	0.005695995033830181	0.005613981725196931	0.0048323484718137	0.005103079092840235	0.005332917390150069	0.005355994913686901	0.005297013601500383	0.0056500569914756365	0.006535955501642447	0.005353613335827664	0.006333186396021753	0.005604157492075073	0.005340835252012756	0.005260054657874009	0.005037379033033759	0.005415618220456965	0.005401264909963957	0.005528978224482091	0.005393721978403776	0.004832142152117127	0.005712216973128945	0.00468213555680611	0.005562786932891397	0.005086569208534627	0																																																														
MG24	0.006380801150738226	0.005346039091709829	0.005200041833324548	0.005425172508583079	0.005132146898852166	0.004789845924129467	0.004811406881225033	0.00531079002320886	0.005382076203331624	0.0051510696738899745	0.005393853106650222	0.005151140895211095	0.005166474820357599	0.004910294012010527	0.004985290332653738	0.004898574262181782	0.0063166417419338655	0.004908951863464643	0.005613959191086842	0.005314645072463154	0.004729579020735504	0.005225455537399288	0.004634630800278919	0.005114216044204741	0.004728834514703371	0.005043917788938567	0.004713268848223457	0.004875809935447462	0.00503700260713766	0.004509618393414714	0.005760358764054581	0.004906167857499773	0.005079481513301644	0																																																													
MG25	0.006831023956789936	0.007026484306259895	0.006189340938855757	0.0064868047207826416	0.006756688159448448	0.006471446040509335	0.0062116104382346745	0.0060497635854300505	0.0060697942264032285	0.006684541499939927	0.006406376221040973	0.006299256595195159	0.0065465191134400115	0.005689082726290258	0.005937794295487055	0.0058171527125327055	0.006591037192277696	0.0060367741312393934	0.006677929276891742	0.006377207549789268	0.0059967287146285644	0.00631211788918539	0.005905499511605188	0.006106636622092428	0.005931659033181621	0.006302197022662409	0.006242506447024202	0.00579994776816248	0.006268916362155617	0.005535187762133613	0.007009363216403582	0.00621121363456014	0.00623590116550116	0.005781214696032267	0																																																												
MG26	0.006587064420500301	0.005913145165720267	0.005589461378022439	0.005927915812239247	0.005204688331292761	0.004933056662107302	0.005454342726077986	0.005322164918439057	0.0055133520186944505	0.005153549157235673	0.005169172917721268	0.0050557779114424875	0.005353814617004631	0.005224483034768741	0.00518304972823149	0.0056264032619206044	0.006315025535732606	0.0054946343798238035	0.005865050995406767	0.005658552262716001	0.005439810308115123	0.005331013807519771	0.005072259732648558	0.005437002060999163	0.005320820202604923	0.00575194115096862	0.00490150941613225	0.004603199006205155	0.0049626517486441295	0.0047628786915694015	0.005990436380409247	0.005058597734915572	0.005359974290155705	0.004783224723960923	0.005948007369738343	0																																																											
MG27	0.0073384964666875704	0.006948128439427497	0.0068159504957163546	0.0064014326626189244	0.006826464181900284	0.0062689390325679755	0.006245177245745646	0.0063773930707668606	0.0068268920028519385	0.006629733757240656	0.006253712056304312	0.006207940125374381	0.006925393263017191	0.006145071601332685	0.006050204545410111	0.006514429886116115	0.007429176428453801	0.006440509523330608	0.00626051596508998	0.0065490468290300774	0.0063969301406460915	0.006756212254761	0.0061358736053750106	0.0063920684354232165	0.006352978828272895	0.006386977750522989	0.006310813006466171	0.006169008574085198	0.006541854633380168	0.006263967787005275	0.007191721077538762	0.006548653546834862	0.006944057234692391	0.006678738169494067	0.006680007630434656	0.006549711808622487	0																																																										
